Date,Close,Volume,Inflation,Unemployment,GDP_Growth_Rate,GDP,Interest_rate,CPI
15-08-2008,1298.199951,4041820000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-08-2008,1278.599976,3829290000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
19-08-2008,1266.689941,4159760000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
20-08-2008,1274.540039,4555030000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
21-08-2008,1277.719971,4032590000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-08-2008,1292.199951,3741070000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-08-2008,1266.839966,3420600000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
26-08-2008,1271.51001,3587570000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
27-08-2008,1281.660034,3499610000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-08-2008,1300.680054,3854280000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-08-2008,1282.829956,3288120000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/9/2008,1277.579956,4783560000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/9/2008,1274.97998,5056980000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
4/9/2008,1236.829956,5212500000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
5/9/2008,1242.310059,5017080000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/9/2008,1267.790039,7351340000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/9/2008,1224.51001,7380630000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/9/2008,1232.040039,6543440000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/9/2008,1249.050049,6869250000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
12/9/2008,1251.699951,6273260000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
15-09-2008,1192.699951,8279510000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-09-2008,1213.599976,9459830000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
